Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,8.55970711463537,0.0,0.0,0.00138,7.676377489596983,0.0148
1,7.12609033095531,0.0,0.0,0.04954,6.5739122402818895,0.1071
2,6.207005594938229,0.0,0.0,0.1379,5.895072695575183,0.178
3,5.55820657534477,0.0,0.0,0.2095,5.503486247002324,0.2322
4,5.039585546346811,0.0,0.0,0.26972,5.196035113515733,0.2775
5,4.615748132192172,0.0,0.0,0.32408,4.9570564076870305,0.3125
6,4.244931947879302,0.0,0.0,0.37438,4.9247110704832435,0.3279
7,3.93537869820228,0.0,0.0,0.41966,4.725611046899723,0.3579
8,3.655998892050523,0.0,0.0,0.45994,4.638258565830279,0.3842
9,3.4054303762240288,0.0,0.0,0.49484,4.594368943685217,0.396
10,3.1661446284025145,0.0,0.0,0.52846,4.540755748748779,0.4087
11,2.952153839209141,0.0,0.0,0.56172,4.534006260618379,0.4183
12,2.793133046688178,0.0,0.0,0.58084,4.513199278070957,0.4284
13,2.632790208168519,0.0,0.0,0.6067,4.606343589251554,0.4339
14,2.4894118247888026,0.0,0.0,0.62652,4.628618904306919,0.436
15,2.3354514198425487,0.0,0.0,0.65262,4.4753956311865695,0.4537
16,2.236737877283341,0.0,0.0,0.66552,4.5042392845395245,0.4579
17,2.114707443347344,0.0,0.0,0.68374,4.645357089706614,0.4566
18,2.0113557470150485,0.0,0.0,0.70012,4.589796259433409,0.4624
19,1.9354264873724718,0.0,0.0,0.71366,4.641164163999919,0.4577
