Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,4.811650775029109,0.0,0.0,0.1273,4.199451675897913,0.2038
1,3.7885842298850037,0.0,0.0,0.2679,3.7571805881548532,0.2931
2,3.399706713969891,0.0,0.0,0.33994,3.753152786930905,0.3141
3,3.1782381320611024,0.0,0.0,0.37976,3.6143872707704956,0.3405
4,2.9756930253444573,0.0,0.0,0.41664,3.6286481754689275,0.3519
5,2.8174205987881393,0.0,0.0,0.44896,3.5735743739936927,0.3738
6,2.713505776417561,0.0,0.0,0.46822,3.526672921603239,0.3841
7,2.5938124244029703,0.0,0.0,0.49032,3.5151958344857905,0.3921
8,2.495593494329697,0.0,0.0,0.50984,3.5193602646453472,0.3984
9,2.4051502582354423,0.0,0.0,0.53016,3.562179671058172,0.3941
10,2.3237532349733208,0.0,0.0,0.5455,3.4826435409014738,0.4074
11,2.2839147787827714,0.0,0.0,0.552,3.5107204431219947,0.4133
12,2.1853988234813397,0.0,0.0,0.5717,3.6211963695815848,0.4062
13,2.1438490751462105,0.0,0.0,0.58246,3.6215480460396297,0.4142
14,2.0818285926794395,0.0,0.0,0.59358,3.595964576624617,0.4145
15,2.0258283514242907,0.0,0.0,0.60562,3.615332383143751,0.4254
16,1.976555830698747,0.0,0.0,0.61838,3.6300990521153316,0.4145
17,1.9208440603354038,0.0,0.0,0.62756,3.7343273072303096,0.4159
18,1.9116468090277452,0.0,0.0,0.62678,3.653261670583411,0.4186
19,1.863202038483742,0.0,0.0,0.63926,3.5453205078463013,0.4438
