Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,3.0980073610941568,0.0,0.0,0.26444,2.8678945861285245,0.3177
1,2.8130511589539355,0.0,0.0,0.34488,2.8900191331211524,0.3417
2,2.772419551702646,0.0,0.0,0.3785,3.0280430256565913,0.3535
3,2.7977118632732294,0.0,0.0,0.39736,3.0932963618749305,0.3603
4,2.6394955836809597,0.0,0.0,0.4338,2.898326822474033,0.3882
5,2.5375513712565105,0.0,0.0,0.45222,2.9945432626748385,0.3888
6,2.44601740195201,0.0,0.0,0.47348,2.9199761318255075,0.4131
7,2.3571671660129843,0.0,0.0,0.4944,2.9179472893099243,0.4053
8,2.302826669582954,0.0,0.0,0.50292,2.9061866923223567,0.4222
9,2.2498042024098908,0.0,0.0,0.51698,2.8336433111866817,0.4283
10,2.1951316179373324,0.0,0.0,0.52834,3.0073992089380193,0.4091
11,2.187502711858505,0.0,0.0,0.5301,2.9642108663727966,0.413
12,2.0984947895392394,0.0,0.0,0.5475,2.8287214086025574,0.4422
13,2.0598328027969752,0.0,0.0,0.55466,2.9091913911360727,0.4313
14,2.054561309936719,0.0,0.0,0.55718,2.896656295921229,0.434
15,1.9917989312074122,0.0,0.0,0.572,2.9208523593371427,0.4379
16,1.9528115697396107,0.0,0.0,0.57926,2.932300320154504,0.4395
17,1.9116532521370129,0.0,0.0,0.58772,2.9938980446586125,0.4355
18,1.89961482775517,0.0,0.0,0.59126,2.8732563151588923,0.4523
19,1.856799657833882,0.0,0.0,0.5999,2.888372671755054,0.447
