Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,1.6269978104493557,0.6814230820307365,0.9455747257440518,0.79374,0.28360299615165857,0.9127
1,0.8320400336614022,0.22519606607846723,0.6068439678503916,0.93084,0.21706310254109057,0.9324
2,0.5990941062951699,0.15471150307701184,0.44438260346651076,0.95232,0.17336363364246826,0.9432
3,0.4501120510773781,0.11238685553081525,0.33772519624386077,0.96534,0.16158346313087246,0.9452
4,0.3502363880093281,0.08347924619148939,0.266757141550382,0.97484,0.1488997032747993,0.948
5,0.26109266233367795,0.05943069713285718,0.20166196445815074,0.98276,0.14595780974324746,0.9509
6,0.2015531602005164,0.04346535684636388,0.15808780333743647,0.9874,0.1397666475157949,0.954
7,0.14868571039957879,0.030847466448083137,0.1178382441162681,0.99108,0.15552218810101098,0.9491
8,0.10651767883831874,0.021028364103478497,0.08548931430738706,0.9934,0.14585844974351836,0.9526
9,0.07163840374933221,0.013897186333838945,0.05774121743698533,0.99586,0.14167390046994896,0.9543
10,0.052124237624976116,0.010009034489018794,0.04211520319625449,0.99692,0.14790909968410867,0.9541
11,0.036851185142325285,0.00708746255065004,0.029763722592272248,0.99742,0.14768819878750208,0.9546
12,0.025111265807078245,0.004688620533889685,0.020422645301993888,0.99802,0.14757640409884573,0.9557
13,0.019140066034518757,0.003909203281196264,0.015230862744889844,0.99792,0.15265037647531002,0.9564
14,0.013463505397503002,0.0028828927721732704,0.010580612662063988,0.99826,0.14869302869597567,0.957
15,0.010547565892249202,0.002229104014352346,0.008318461834119845,0.99832,0.14962848681437818,0.9557
16,0.008472975711965074,0.001957741816743062,0.006515233893954549,0.9983,0.14907228762779054,0.9575
17,0.006774919840525119,0.0016012624431497012,0.005173657378775086,0.99838,0.15206727597721015,0.9569
18,0.005780155091764381,0.001435287736165218,0.004344867320532313,0.99834,0.15274772118729882,0.9574
19,0.004604710071968536,0.0012508529286162976,0.00335385713928214,0.99838,0.15313451312765292,0.9574
